Nome_Aluno;Tempo de Deslocamento;Tempo de Prática de Esportes;Tempo Jogando Videogames;Tempo Investido em Leitura;Tempo Assistindo Séries;Meio de Transporte;Matérias preferidas;Séries preferidas;Preferência exercício físico/esportes;Preferência VideoGames
Alexandre Nogueira Gimenes;0;2;26;25;12;A pé;SOC;Avatar;Academia, Vôlei;Fifa, Xadrez
Caio Cerqueira Cardoso;16;6;10;26;4;Bicicleta, Metrô, Carro;MAT, DES, GEO, POR;Greys anatomy;Vôlei, Futebol, Balé, Academia;Minecraft, Lol, Fortnite
Carlos Fagundes dos Santos;5;22;25;20;19;Metrô, Uber, Van, Ônibus;QUI, GEO, SOC, POR, DES;Game of Thrones;Futebol, Nenhum, Natação;Minecraft, DotA2
Cristina Ávila Linhares;22;6;0;6;26;Van;FIL, GEO, DES, MAT, QUI;Game of Thrones;Futebol, Academia, Balé, Vôlei;Lol, Fortnite
Davi Chaves Bitencourt;11;21;4;21;24;Uber;FRA, GEO, HIS, SOC, BIO, MAT, POR;The Office;Futebol, Balé, Vôlei;Minecraft, Lol
Eduarda Oliveira de Matos;6;29;9;3;27;Bicicleta, Van;FIL, HIS, QUI, FRA, POR;The Office;Futebol, Balé;Fortnite, Lol
Elza Salles Teixeira;16;30;0;8;5;Metrô;BIO;Avatar;Nenhum, Futebol, Vôlei;Minecraft, Fortnite, Fifa
Felipe Delgado Camargo;0;12;21;14;0;Bicicleta, Ônibus;FIL;Game of Thrones;Balé, Corrida, Natação;Fifa, Minecraft, DotA2
Fernando Madruga Ximenes;15;4;24;3;23;Uber, Ônibus, Van;SOC, BIO, DES, FIL, QUI;Avatar;Nenhum;Minecraft
Flávia Madruga Arruda;4;14;21;21;10;Bicicleta, A pé, Ônibus;HIS, BIO, FIL, POR, MAT, GEO, DES;Greys anatomy;Corrida;DotA2, Xadrez, Fortnite
Juliano Fontes Brandão;4;14;6;3;29;Van, Carro;FIS;Avatar;Nenhum, Corrida;Fifa, Xadrez
Julio Espíndola Martins;28;3;12;8;7;Metrô;QUI, FRA, HIS, BIO, FIL, GEO;Greys anatomy;Natação, Corrida, Vôlei;Minecraft, Xadrez, Fortnite
Júnior Morais Padilha;15;19;14;7;20;Uber, Bicicleta, Van, Metrô;POR, FIS;The Office;Balé, Academia;Minecraft, Fortnite, DotA2
Leila Nogueira da Fonseca;21;13;5;3;8;Van, Uber;SOC;Avatar;Corrida, Vôlei, Balé;Fifa, Fortnite
Luiz Cardoso Shinoda;24;19;6;8;17;A pé;DES, QUI, MAT, BIO, SOC, FIS, GEO, HIS;Avatar;Academia, Futebol, Corrida, Balé;DotA2, Fifa, Minecraft
Marcela Falcão Duarte;1;9;28;4;16;Bicicleta, Metrô, Van;QUI, POR, DES, FIS, FRA;Game of Thrones;Futebol, Corrida, Natação;Fifa
Marcelo Melo Dias;26;22;4;12;29;Van, Ônibus;BIO, FIS, HIS, MAT, SOC;The Office;Academia, Balé, Futebol;Fifa
Miguel Chaves Araújo;29;18;11;12;21;Metrô;BIO, FIL, MAT, FRA, SOC, FIS;The Office;Nenhum;Xadrez
Moacir Pimentel de Ávila;3;30;28;17;2;A pé;FRA, GEO;Avatar;Futebol, Corrida, Natação, Vôlei;Fortnite, Lol, Xadrez
Otávio Vidal Fraga;15;19;3;19;6;Bicicleta;FIS, HIS, POR, QUI, FRA;Game of Thrones;Academia;Xadrez
Pablo Santana da Fonseca;28;29;22;22;10;Van;QUI, HIS, BIO, FIL, FIS, MAT, DES;Game of Thrones;Natação, Corrida, Nenhum;Fortnite
Renato Amaral Nakamura;28;27;13;8;4;Van, Ônibus;DES;Greys anatomy;Vôlei;Minecraft, Fortnite
Ricardo Aguiar Ito;12;28;14;30;16;Uber, Van;MAT, POR;Game of Thrones;Vôlei, Natação, Academia;Fortnite, Lol
Rosana Vieira Braga;11;13;4;0;16;Van, Uber, Bicicleta;FIL;Avatar;Natação;DotA2, Lol, Fifa
Thaís Camargo Mendes;19;29;3;0;20;A pé, Uber, Metrô;MAT;Avatar;Nenhum, Vôlei;DotA2, Minecraft
Tiago Nakata Cerqueira;3;27;27;0;8;Ônibus, Van, Metrô;BIO, GEO, HIS;The Office;Futebol, Vôlei;Fortnite, DotA2
Valentina Monteiro Belchior;5;17;4;13;25;A pé, Bicicleta;FRA, MAT, HIS, FIS, QUI, FIL, GEO, POR;The Office;Balé;Minecraft
Vinícius Pires de Azevedo;19;30;10;4;12;Bicicleta, Van;GEO;Greys anatomy;Balé, Futebol, Corrida, Vôlei;Xadrez, Lol, Fortnite
Yasmin Simões Ambrósio;19;11;11;16;7;Metrô, Uber, Carro, Ônibus;FIS, SOC, FIL, GEO, POR, DES, FRA;The Office;Academia, Nenhum, Natação;Xadrez, Fortnite, Minecraft
Zilda Medeiras Menezes;22;25;24;9;8;Van, Uber;BIO, HIS, FRA, SOC, GEO, QUI, DES, POR;Greys anatomy;Academia;Minecraft, DotA2, Xadrez
